vote_id,submitted_at,created_at,user_id,job_id,language,sentence_id,category_code,bucket,sub_bucket,sentence_text,model_a_id,model_a_name,model_a_org,model_b_id,model_b_name,model_b_org,outcome,winner_id,rater_select,result_raw,time_taken_sec,audio_duration_total_sec,comment_on_a,comment_on_b,defect_tags_on_a,defect_tags_on_b
83729,2026-05-02 14:41:39.277458+00,2026-04-30 21:17:25.019068+00,1313225,452,en-US,us_gc_12,gc,Gen-conv & AI assistants,Gen-conv — short film reaction,Dune Part Two is phenomenal.,34,Google DeepMind Gemini 3.1 Flash TTS,Google DeepMind,40,xAI Grok TTS,xAI,tie,,"A,B","[""40"", ""34""]",23.74,5.43,,,,
162068,2026-05-02 20:20:44.55134+00,2026-05-02 18:29:25.248426+00,1289169,452,en-US,us_cs_11,cs,Customer support & contact center,Telecom — prepaid plan expiring,"Uhh, just a quick heads up — your prepaid plan of 30 dollars is, umm, actually expiring tonight at midnight.",32,ElevenLabs Eleven v3,ElevenLabs,44,Fish Audio S2 Pro,Fish Audio,a_wins,32,B,"[""32""]",35.16,15.468,,,,
83597,2026-05-02 03:46:42.3418+00,2026-04-30 21:17:24.713443+00,1310764,452,en-US,us_gc_11,gc,Gen-conv & AI assistants,Gen-conv — short imperative reaction,"Sure thing, friend, playing 'Blinding Lights' for you!",36,Cartesia Sonic-3,Cartesia,40,xAI Grok TTS,xAI,b_wins,40,B,"[""40""]",26.26,5.716,,,,
162017,2026-05-03 16:00:17.18095+00,2026-05-02 18:29:25.128137+00,1289988,452,en-US,us_cs_10,cs,Customer support & contact center,Refund initiated,"Okay, uh, yeah, the refund of $66.40 has been issued back to your original payment method.",32,ElevenLabs Eleven v3,ElevenLabs,40,xAI Grok TTS,xAI,tie,,"A,B","[""32"", ""40""]",21.48,13.83,,,,
163982,2026-05-04 12:27:39.730547+00,2026-05-02 18:29:29.845532+00,1310769,452,en-US,us_gc_05,gc,Gen-conv & AI assistants,AI assistant — navigation with traffic,"Sure, finding the route to Mass General Hospital in Beacon Hill. Please note that traffic is very heavy on Storrow Drive near the Charles Circle interchange.",40,xAI Grok TTS,xAI,44,Fish Audio S2 Pro,Fish Audio,tie,,"A,B","[""44"", ""40""]",24.22,17.346,,,,
85779,2026-05-02 13:23:10.65496+00,2026-04-30 21:17:29.68373+00,1313054,452,en-US,us_me_14,me,Media & entertainment,News — equity quote,Microsoft shares fell 1.4 percent to $412 on Tuesday.,35,Microsoft Azure Dragon HD Omni,Microsoft Azure,44,Fish Audio S2 Pro,Fish Audio,b_wins,44,B,"[""44""]",17.06,11.557,,,,
164476,2026-05-04 12:28:41.522618+00,2026-05-02 18:29:31.015719+00,1310769,452,en-US,us_gc_13,gc,Gen-conv & AI assistants,Gen-conv — meeting-up coordination,"Okay so, umm.. I booked Blue Bottle in the Mission for 5 p.m., that works right?",32,ElevenLabs Eleven v3,ElevenLabs,40,xAI Grok TTS,xAI,tie,,"A,B","[""32"", ""40""]",60.11,12.69,,,,
164346,2026-05-03 11:27:31.340827+00,2026-05-02 18:29:30.702542+00,1310769,452,en-US,us_gc_11,gc,Gen-conv & AI assistants,Gen-conv — short imperative reaction,"Sure thing, friend, playing 'Blinding Lights' for you!",32,ElevenLabs Eleven v3,ElevenLabs,33,OpenAI gpt-4o-mini-tts,OpenAI,a_wins,32,B,"[""32""]",24.56,6.72,,,,
83728,2026-05-02 14:16:45.369911+00,2026-04-30 21:17:25.016938+00,1306590,452,en-US,us_gc_12,gc,Gen-conv & AI assistants,Gen-conv — short film reaction,Dune Part Two is phenomenal.,34,Google DeepMind Gemini 3.1 Flash TTS,Google DeepMind,40,xAI Grok TTS,xAI,tie,,"A,B","[""34"", ""40""]",15.57,5.43,Nice tone and easy to follow and hear,Nice tone and easy to follow and hear,,
164410,2026-05-03 13:42:48.343149+00,2026-05-02 18:29:30.853588+00,1289989,452,en-US,us_gc_12,gc,Gen-conv & AI assistants,Gen-conv — short film reaction,Dune Part Two is phenomenal.,32,ElevenLabs Eleven v3,ElevenLabs,33,OpenAI gpt-4o-mini-tts,OpenAI,a_wins,32,B,"[""32""]",236.71,5.52,,"""phenomenal"" is misspronounced. Too much emphasis on the ""o""",,severe_mispronunciation
