vote_id,submitted_at,created_at,user_id,job_id,language,sentence_id,category_code,bucket,sub_bucket,sentence_text,model_a_id,model_a_name,model_a_org,model_b_id,model_b_name,model_b_org,outcome,winner_id,rater_select,result_raw,time_taken_sec,audio_duration_total_sec,comment_on_a,comment_on_b,defect_tags_on_a,defect_tags_on_b
131679,2026-05-02 02:46:20.525926+00,2026-05-01 21:37:14.508288+00,1297591,460,vi-VN,vi_gc_14,gc,Gen-conv & AI assistants,Gen-conv — music play directive,"Ừm, bài hát từ phim ""Stranger Things"" mà bị viral hồi đó là, ừm.. bài ""Running Up That Hill"" của Kate Bush đó.",32,ElevenLabs Eleven v3,ElevenLabs,33,OpenAI gpt-4o-mini-tts,OpenAI,a_wins,32,A,"[""32""]",28,17.25,,,,unnatural_robotic_voice;irregular_pacing
148302,2026-05-02 15:50:32.609215+00,2026-05-02 15:14:24.504317+00,1306659,460,vi-VN,vi_gc_02,gc,Gen-conv & AI assistants,AI assistant — smart-home control terse,"Vâng, đang đặt thermostat phòng ngủ chính ở mức 22 độ C ạ.",34,Google DeepMind Gemini 3.1 Flash TTS,Google DeepMind,36,Cartesia Sonic-3,Cartesia,tie,,"A,B","[""34"", ""36""]",14.33,8.091,,,,
152740,2026-05-02 15:28:01.202599+00,2026-05-02 15:14:25.082691+00,1312219,460,vi-VN,vi_gc_03,gc,Gen-conv & AI assistants,AI assistant — transit status update,Tàu Thống Nhất SE3 đang chạy chậm 30 phút và sẽ đến ga Hà Nội lúc 9 giờ 15 tối.,32,ElevenLabs Eleven v3,ElevenLabs,40,xAI Grok TTS,xAI,tie,,"A,B","[""32"", ""40""]",120.38,10.87,There is no problems with the audio,There is no problems with the audio,,
129338,2026-05-02 00:24:53.418107+00,2026-05-01 21:37:07.466442+00,1306605,460,vi-VN,vi_cs_13,cs,Customer support & contact center,Number-portability lookup,"Ừm, ờ, em đang kiểm tra trên hệ thống đây ạ, và có vẻ như số 098-7654-3210 mà anh muốn chuyển mạng đang, ừm, hoạt động trên mạng MobiFone tại Hà Nội ạ.",32,ElevenLabs Eleven v3,ElevenLabs,34,Google DeepMind Gemini 3.1 Flash TTS,Google DeepMind,tie,,"A,B","[""34"", ""32""]",39.24,28.44,Hơi có tiếng vang,,noise_distortion,
131518,2026-05-02 03:51:01.220148+00,2026-05-01 21:37:14.021849+00,1290641,460,vi-VN,vi_gc_11,gc,Gen-conv & AI assistants,Gen-conv — short imperative reaction,"Được rồi bạn ơi, đang phát bài ""Lạc Trôi"" cho bạn nghe đây nhé!",33,OpenAI gpt-4o-mini-tts,OpenAI,41,MiniMax Speech 2.8 HD,MiniMax,b_wins,41,A,"[""41""]",10.79,8.75,,,,
131070,2026-05-02 07:35:52.133313+00,2026-05-01 21:37:12.696715+00,1312766,460,vi-VN,vi_gc_04,gc,Gen-conv & AI assistants,AI assistant — scheduling confirmation,Em đã đặt lịch họp với chị Mai Hương về dự án Project Atlas vào lúc 11 giờ 30 sáng mai ạ.,33,OpenAI gpt-4o-mini-tts,OpenAI,35,Microsoft Azure Dragon HD Omni,Microsoft Azure,b_wins,35,B,"[""35""]",27.29,14.55,,,irregular_pacing;unnatural_robotic_voice,
131283,2026-05-02 07:35:55.069351+00,2026-05-01 21:37:13.315471+00,1299271,460,vi-VN,vi_gc_08,gc,Gen-conv & AI assistants,AI assistant — financial transfer confirmation,"Đã chuyển 2.500.000 đồng cho chị Mai Hương Nguyễn qua chuyển khoản nhanh từ tài khoản tiết kiệm Vietcombank của anh. Mã xác nhận của anh là VCB-7K9M-4492, và giao dịch đã hoàn tất vào lúc 3 giờ 45 chiều ạ.",36,Cartesia Sonic-3,Cartesia,41,MiniMax Speech 2.8 HD,MiniMax,a_wins,36,B,"[""36""]",109.55,33.595,"VCB-7K9M-4492, đoạn mã này bị ngắt nghỉ một cách khó chịu",2.500.000 - đọc sai số này,irregular_pacing;unnatural_robotic_voice,unnatural_robotic_voice
132440,2026-05-02 00:17:45.643245+00,2026-05-01 21:37:16.901456+00,1303674,460,vi-VN,vi_me_05,me,Media & entertainment,Audiobook — historical political,"Tia lửa thực sự đầu tiên của Cách Mạng Tháng Tám đã được nhóm lên vào sáng ngày 19 tháng 8 năm 1945 tại Nhà Hát Lớn Hà Nội, khi ông Trường Chinh dẫn đầu một đoàn người gồm sinh viên, công nhân và các viên chức nhà nước xếp hàng dưới làn mưa, rồi tiến về Bắc Bộ Phủ để đòi độc lập cho dân tộc. Đến chiều tối, những phát súng đã vang lên, và sự im lặng đã trở thành khúc dạo đầu cho cái mà sau này được gọi là sự khởi đầu của cuộc đấu tranh giành độc lập hiện đại.",32,ElevenLabs Eleven v3,ElevenLabs,40,xAI Grok TTS,xAI,tie,,"A,B","[""32"", ""40""]",63.31,58.25,Little too loud,,,
133437,2026-05-02 04:56:17.16279+00,2026-05-01 21:37:19.899731+00,1311721,460,vi-VN,vi_me_21,me,Media & entertainment,News — newspaper coverage compare-4,"Bản tin về việc Cục Hải Quan và Bảo Vệ Biên Giới Hoa Kỳ tịch thu khoảng 4,2 triệu đô-la cocaine ngoài khơi bờ biển Florida đã được đưa tin rộng rãi trên nhiều cơ quan báo chí lớn vào hôm thứ Tư, với Reuters, Associated Press, Bloomberg và Tuổi Trẻ trình bày các góc nhìn khác nhau về câu chuyện. Bản tin của Reuters tập trung vào các tác động kinh tế đối với thị trường ma túy Hoa Kỳ, trong khi AP đưa tin theo hướng tập trung vào hoạt động thực thi pháp luật với các lời khai theo thời gian thực. Bloomberg cung cấp một phân tích phù hợp với các tác động trừng phạt lên các đường dây vận chuyển, còn Tuổi Trẻ đã liên kết câu chuyện với các mô hình vận chuyển ma túy rộng hơn ở vùng Caribbean giữa Colombia và Texas.",32,ElevenLabs Eleven v3,ElevenLabs,35,Microsoft Azure Dragon HD Omni,Microsoft Azure,tie,,"A,B","[""32"", ""35""]",115.13,80.83,,,,
134712,2026-05-02 04:56:29.891782+00,2026-05-01 21:37:23.814601+00,1291114,460,vi-VN,vi_ce_18,ce,Content creation & education,Education — STEM analytics/CS,"Trong lĩnh vực phân tích hiện đại, thuật toán Logistic Regression sử dụng phương pháp học có giám sát để phân tích các tập dữ liệu như phân loại email spam, áp dụng các mô hình toán học được định nghĩa thông qua hàm sigmoid để dự đoán xác suất lớp, và cải thiện độ chính xác bằng cách sử dụng hàm mất mát cross-entropy.",34,Google DeepMind Gemini 3.1 Flash TTS,Google DeepMind,41,MiniMax Speech 2.8 HD,MiniMax,tie,,"A,B","[""41"", ""34""]",130.67,37.7,,,,
176824,2026-05-04 19:31:06.353623+00,2026-05-04 12:55:43.032416+00,1303057,460,vi-VN,vi_gc_04,gc,Gen-conv & AI assistants,AI assistant — scheduling confirmation,Em đã đặt lịch họp với chị Mai Hương về dự án Project Atlas vào lúc 11 giờ 30 sáng mai ạ.,35,Microsoft Azure Dragon HD Omni,Microsoft Azure,36,Cartesia Sonic-3,Cartesia,tie,,"A,B","[""35"", ""36""]",13.93,10.398,,,,
128636,2026-05-02 09:47:30.156211+00,2026-05-01 21:37:05.218604+00,1297871,460,vi-VN,vi_cs_02,cs,Customer support & contact center,Banking duplicate-charge dispute,"Dạ, ờ, anh cho em xem lại một chút ạ… ừm, vâng, em đang thấy ở đây là khoản trả góp 26.250.000 đồng cho khoản vay mua nhà số 4471-8829-3052-0967 của anh đã bị trừ hai lần vào ngày 14 tháng 1 năm 2026 ạ.",36,Cartesia Sonic-3,Cartesia,41,MiniMax Speech 2.8 HD,MiniMax,a_wins,36,B,"[""36""]",44.06,40.426,,"các số tiền bị đọc thiếu, năm 2026 đọc sai",,severe_mispronunciation;missing_word
133911,2026-05-02 14:42:16.698677+00,2026-05-01 21:37:21.346302+00,1290887,460,vi-VN,vi_ce_05,ce,Content creation & education,Content creation — film/show review with rating,"Trong bài đánh giá này, chúng mình, ờ, phân tích cách mà bộ phim ""Mắt Biếc"", với điểm số 8,4 trên 10, xây dựng chiều sâu cảm xúc thông qua ngôn ngữ hình ảnh tĩnh lặng và âm nhạc tiết chế, đồng thời, ừm, khám phá các chủ đề về ký ức và những khả năng đã bị bỏ lỡ.",33,OpenAI gpt-4o-mini-tts,OpenAI,41,MiniMax Speech 2.8 HD,MiniMax,a_wins,33,B,"[""33""]",216.72,36.116,"Ờ, ừm quá nhiều","8,4 đọc thiếu dấu phẩy
Ờ, ừm quá nhiều",unnatural_robotic_voice;irregular_pacing,irregular_pacing;missing_word;unnatural_robotic_voice
134542,2026-05-02 07:36:42.110646+00,2026-05-01 21:37:23.259054+00,1311915,460,vi-VN,vi_ce_15,ce,Content creation & education,Education — STEM biology,"Trong môn sinh học, quá trình quang hợp chuyển hóa các phân tử 6 CO2 và 6 H2O thành đường glucose với công thức C6H12O6, thu nạp năng lượng cốt lõi cho sự phát triển của thực vật và sự cân bằng của hệ sinh thái.",33,OpenAI gpt-4o-mini-tts,OpenAI,41,MiniMax Speech 2.8 HD,MiniMax,tie,,bad,"[""tie/no preference""]",182.43,31.652,Giọng ngọng khó nghe,"Phát âm sai công thức hoá học: 6H20, C6H12O6",unnatural_robotic_voice,mild_mispronunciation;severe_mispronunciation
113785,2026-05-01 14:14:49.138755+00,2026-04-30 21:46:01.403027+00,1311745,460,vi-VN,vi_cs_35,cs,Customer support & contact center,Court postponement PA,"Xin quý vị chú ý, vụ án số CV-9X77B được lên lịch xét xử tại phòng xử án CR-12 đã được dời sang ngày 5 tháng 4 năm 2026, lúc 10 giờ 30 phút sáng, vì lý do sắp xếp lại lịch triệu tập nhân chứng. Đề nghị tất cả các đương sự có mặt trước phiên xét xử ít nhất 15 phút và mang theo đầy đủ giấy tờ cập nhật. Các luật sư cũng được đề nghị nộp các đơn từ sửa đổi trước khi phiên xét xử bắt đầu, để tránh bất kỳ sự chậm trễ nào trong quá trình tố tụng.",33,OpenAI gpt-4o-mini-tts,OpenAI,34,Google DeepMind Gemini 3.1 Flash TTS,Google DeepMind,b_wins,34,B,"[""34""]",71.19,68.59,,,,
116174,2026-05-01 13:27:49.094512+00,2026-04-30 21:46:07.016157+00,1311745,460,vi-VN,vi_me_21,me,Media & entertainment,News — newspaper coverage compare-4,"Bản tin về việc Cục Hải Quan và Bảo Vệ Biên Giới Hoa Kỳ tịch thu khoảng 4,2 triệu đô-la cocaine ngoài khơi bờ biển Florida đã được đưa tin rộng rãi trên nhiều cơ quan báo chí lớn vào hôm thứ Tư, với Reuters, Associated Press, Bloomberg và Tuổi Trẻ trình bày các góc nhìn khác nhau về câu chuyện. Bản tin của Reuters tập trung vào các tác động kinh tế đối với thị trường ma túy Hoa Kỳ, trong khi AP đưa tin theo hướng tập trung vào hoạt động thực thi pháp luật với các lời khai theo thời gian thực. Bloomberg cung cấp một phân tích phù hợp với các tác động trừng phạt lên các đường dây vận chuyển, còn Tuổi Trẻ đã liên kết câu chuyện với các mô hình vận chuyển ma túy rộng hơn ở vùng Caribbean giữa Colombia và Texas.",32,ElevenLabs Eleven v3,ElevenLabs,41,MiniMax Speech 2.8 HD,MiniMax,tie,,"A,B","[""32"", ""41""]",194.6,98.488,,,,
131496,2026-05-02 02:26:37.551616+00,2026-05-01 21:37:13.960403+00,1312349,460,vi-VN,vi_gc_11,gc,Gen-conv & AI assistants,Gen-conv — short imperative reaction,"Được rồi bạn ơi, đang phát bài ""Lạc Trôi"" cho bạn nghe đây nhé!",34,Google DeepMind Gemini 3.1 Flash TTS,Google DeepMind,35,Microsoft Azure Dragon HD Omni,Microsoft Azure,tie,,"A,B","[""35"", ""34""]",21.89,8.52,,,,
128826,2026-05-02 05:03:53.999531+00,2026-05-01 21:37:05.828325+00,1291114,460,vi-VN,vi_cs_05,cs,Customer support & contact center,Card activation confirm,"Dạ, ờ, vâng, thẻ của anh số 4147-9938-2210-6655 đã được kích hoạt thành công rồi ạ.",36,Cartesia Sonic-3,Cartesia,41,MiniMax Speech 2.8 HD,MiniMax,tie,,"A,B","[""41"", ""36""]",32.7,18.82,audio's volume kinda small,,,
131979,2026-05-02 11:29:51.073781+00,2026-05-01 21:37:15.418529+00,1290651,460,vi-VN,vi_gc_19,gc,Gen-conv & AI assistants,Gen-conv — celebrity-spotting story,"Kiểu, okay, mình phải kể bạn nghe chuyện hôm qua chị Mai Anh gửi mình — chị ấy đang đứng đợi em gái mua sắm xong ở trước trung tâm Vincom Đồng Khởi, và bỗng dưng anh Sơn Tùng đi từ trong cửa hàng ra, cầm cái túi Louis Vuitton kiểu casually swing nhẹ, có hai bodyguard đi sau lưng anh ấy vài bước, và kiểu cả vỉa hè đó đông đúc tự dưng freeze luôn, như thể mọi người đang đi giữa chừng cũng khựng lại rồi làm bộ không nhìn chằm chằm vậy.",33,OpenAI gpt-4o-mini-tts,OpenAI,36,Cartesia Sonic-3,Cartesia,a_wins,33,A,"[""33""]",62.23,54.284,,Nói to lên,,
130069,2026-05-02 11:35:03.305855+00,2026-05-01 21:37:09.659739+00,1306278,460,vi-VN,vi_cs_24,cs,Customer support & contact center,Clarifying disambiguation,"Ừm, ờ, em chỉ muốn xác nhận lại để chắc chắn em hiểu đúng — có phải anh đang hỏi về series 'The Bear' không ạ?",33,OpenAI gpt-4o-mini-tts,OpenAI,41,MiniMax Speech 2.8 HD,MiniMax,tie,,"A,B","[""33"", ""41""]",444.5,15.078,"Filler words (‘ừm’, ‘ờ’) should not be read aloud.","Filler words (‘ừm’, ‘ờ’) should not be read aloud.",,
130706,2026-05-02 00:18:56.41083+00,2026-05-01 21:37:11.589094+00,1303674,460,vi-VN,vi_cs_35,cs,Customer support & contact center,Court postponement PA,"Xin quý vị chú ý, vụ án số CV-9X77B được lên lịch xét xử tại phòng xử án CR-12 đã được dời sang ngày 5 tháng 4 năm 2026, lúc 10 giờ 30 phút sáng, vì lý do sắp xếp lại lịch triệu tập nhân chứng. Đề nghị tất cả các đương sự có mặt trước phiên xét xử ít nhất 15 phút và mang theo đầy đủ giấy tờ cập nhật. Các luật sư cũng được đề nghị nộp các đơn từ sửa đổi trước khi phiên xét xử bắt đầu, để tránh bất kỳ sự chậm trễ nào trong quá trình tố tụng.",32,ElevenLabs Eleven v3,ElevenLabs,36,Cartesia Sonic-3,Cartesia,tie,,"A,B","[""36"", ""32""]",69.34,60.105,Little too loud,Little too quite,,
