vote_id,submitted_at,created_at,user_id,job_id,language,sentence_id,category_code,bucket,sub_bucket,sentence_text,model_a_id,model_a_name,model_a_org,model_b_id,model_b_name,model_b_org,outcome,winner_id,rater_select,result_raw,time_taken_sec,audio_duration_total_sec,comment_on_a,comment_on_b,defect_tags_on_a,defect_tags_on_b
98137,2026-05-02 14:18:11.527615+00,2026-04-30 21:32:38.460279+00,1308831,453,ja-JP,jp_cs_10,cs,Customer support & contact center,Refund initiated,"はい、えーと、6,640円の返金を、お客様の元のお支払い方法へお戻しいたしました。",33,OpenAI gpt-4o-mini-tts,OpenAI,34,Google DeepMind Gemini 3.1 Flash TTS,Google DeepMind,tie,,"A,B","[""33"", ""34""]",19.2,16.13,,,,
102480,2026-05-02 13:22:19.889137+00,2026-04-30 21:32:48.580157+00,1306015,453,ja-JP,jp_me_14,me,Media & entertainment,News — equity quote,"ソニーグループの株価は、火曜日の取引で1.4パーセント下落し、12,420円となりました。",32,ElevenLabs Eleven v3,ElevenLabs,36,Cartesia Sonic-3,Cartesia,b_wins,36,A,"[""36""]",29.2,17.461,,,severe_mispronunciation,
101542,2026-05-02 15:27:38.196606+00,2026-04-30 21:32:46.360238+00,1312398,453,ja-JP,jp_gc_21,gc,Gen-conv & AI assistants,AI assistant — smart-home recipe/cooking (new — 11th ai_conv),はい、12分のタイマーを開始しまして、オーブンを220度に予熱しております。,33,OpenAI gpt-4o-mini-tts,OpenAI,40,xAI Grok TTS,xAI,tie,,"A,B","[""40"", ""33""]",16.57,12.2,,,unnatural_robotic_voice,
100940,2026-05-02 12:45:15.593731+00,2026-04-30 21:32:44.951371+00,1306015,453,ja-JP,jp_gc_13,gc,Gen-conv & AI assistants,Gen-conv — meeting-up coordination,うん、えーと、表参道のBlue Bottle Coffeeを午後5時で予約しました、それで大丈夫ですよね?,34,Google DeepMind Gemini 3.1 Flash TTS,Google DeepMind,35,Microsoft Azure Dragon HD Omni,Microsoft Azure,a_wins,34,B,"[""34""]",19.64,15.32,,,,unnatural_robotic_voice;severe_mispronunciation;mild_mispronunciation
168144,2026-05-03 13:40:29.449081+00,2026-05-02 18:34:20.619747+00,1306897,453,ja-JP,jp_cs_10,cs,Customer support & contact center,Refund initiated,"はい、えーと、6,640円の返金を、お客様の元のお支払い方法へお戻しいたしました。",33,OpenAI gpt-4o-mini-tts,OpenAI,36,Cartesia Sonic-3,Cartesia,tie,,"A,B","[""33"", ""36""]",671.72,13.855,,,,
169832,2026-05-03 11:26:43.301875+00,2026-05-02 18:34:24.727231+00,1311652,453,ja-JP,jp_gc_11,gc,Gen-conv & AI assistants,Gen-conv — short imperative reaction,承知しました、お客様のために『Lemon』を再生しております!,33,OpenAI gpt-4o-mini-tts,OpenAI,34,Google DeepMind Gemini 3.1 Flash TTS,Google DeepMind,b_wins,34,B,"[""34""]",16.76,10.26,,,mild_mispronunciation,
100406,2026-05-03 11:27:12.71599+00,2026-04-30 21:32:43.686768+00,1306865,453,ja-JP,jp_gc_06,gc,Gen-conv & AI assistants,AI assistant — phone call confirmation terse,クィーヴァさんに、FaceTimeで発信しております。,36,Cartesia Sonic-3,Cartesia,40,xAI Grok TTS,xAI,tie,,"A,B","[""40"", ""36""]",17.5,6.443,問題なし。,問題なし。,,
169970,2026-05-04 03:01:35.309665+00,2026-05-02 18:34:25.070634+00,1306267,453,ja-JP,jp_gc_14,gc,Gen-conv & AI assistants,Gen-conv — music play directive,うーん、「Stranger Things」でバズったあの曲って、確か、Kate Bushの'Running Up That Hill'でしたよね。,34,Google DeepMind Gemini 3.1 Flash TTS,Google DeepMind,40,xAI Grok TTS,xAI,tie,,"A,B","[""34"", ""40""]",20.83,17.29,,,,
104487,2026-05-01 14:23:22.168078+00,2026-04-30 21:32:53.248482+00,1310987,453,ja-JP,jp_ce_18,ce,Content creation & education,Education — STEM analytics/CS,現代のデータ分析において、Logistic Regressionアルゴリズムは教師あり学習の手法を用い、たとえば電子メールのスパム分類のような、予測精度が問われるデータセットを、効果的に解析いたします。,33,OpenAI gpt-4o-mini-tts,OpenAI,35,Microsoft Azure Dragon HD Omni,Microsoft Azure,a_wins,33,B,"[""33""]",45.37,34.1,,,,noise_distortion;unnatural_robotic_voice;hallucination_extra_content
102639,2026-05-02 00:17:28.980763+00,2026-04-30 21:32:48.939754+00,885857,453,ja-JP,jp_me_16,me,Media & entertainment,News — earnings + commodity move,"Apple社が236億ドルの連結純利益を第3四半期に計上し、前年同期比で9.8パーセントの増益を発表する一方、ロンドン金属取引所では銅の3カ月先物が0.7パーセント下落し、1トンあたり9,840ドルとなりました。",36,Cartesia Sonic-3,Cartesia,40,xAI Grok TTS,xAI,tie,,bad,"[""tie/no preference""]",380.27,33.434,"連結純利益　れんけつじゅんりえき
第3四半期　アクセント
9.8パーセント　きゅうてんはちぱーせんと
0.7パーセント　れいてんななぱーせんと","236億ドル　にひゃくさんじゅうろくおくどる　
上のうしろにExtra Content
連結純利益　れんけつじゅんりえき",mild_mispronunciation,mild_mispronunciation;hallucination_extra_content
